tiempo,ps0_raw,ps0_simple,ps0_kal,ps7_raw,ps7_simple,ps7_kal,ps2_raw,ps2_simple,ps2_kal,ps5_raw,ps5_simple,ps5_kal,enc_left,enc_right
3.85,67.809,68.2959,67.886,67.714,66.1876,69.1404,75.5888,65.7924,66.3117,107.5195,495.2952,305.8131,453.47252,325.61172
3.9,67.1314,68.1737,67.7545,62.6811,66.1284,68.0581,69.0895,67.2231,66.7747,64.6981,324.8239,265.6272,453.87444,325.88804
3.95,69.4682,69.0943,68.0343,67.7681,66.3665,68.0039,62.9948,66.9463,66.1447,75.4825,154.4471,233.9364,454.27008,326.17064
4.0,60.6216,66.8929,66.793,69.195,66.522,68.1966,66.9468,67.768,66.2784,59.5694,95.5968,204.8753,454.672,326.45324
4.05,62.0271,65.4115,65.9928,61.1179,65.6952,67.011,76.0394,70.1319,67.9052,69.9486,75.4436,182.3875,455.07392,326.73584
4.1,64.7721,64.8041,65.7836,72.694,66.6912,67.9524,65.54,68.1221,67.511,69.6606,67.8718,163.5997,455.47584,327.01216
4.15,66.1711,64.612,65.8423,66.5117,67.4573,67.7064,64.4829,67.2008,67.0063,69.9916,68.9305,147.9983,455.87776,327.29476
4.2,70.2912,64.7766,66.578,67.3481,67.3734,67.6409,68.809,68.3636,67.3068,69.9332,67.8207,134.9875,456.2734,327.57736
4.25,67.2868,66.1097,66.6903,68.5798,67.2503,67.7916,69.7358,68.9214,67.7116,67.0576,69.3183,123.6658,456.67532,327.85368
4.3,65.1505,66.7343,66.4279,67.9442,68.6156,67.8112,66.6532,67.0442,67.5352,66.7894,68.6865,114.1864,457.07724,328.13628
4.35,62.0919,66.1983,65.6994,70.8207,68.2409,68.3069,69.9405,67.9243,67.9361,70.2702,68.8084,106.8671,457.47916,328.41888
4.4,68.3452,66.6331,66.1345,63.2629,67.5911,67.4604,68.6629,68.7603,68.0572,58.7539,66.5609,98.8482,457.8748,328.70148
4.45,65.3271,65.6403,65.9942,67.052,67.5319,67.3866,56.0895,66.2164,66.0626,70.2164,66.6175,94.0762,458.27672,328.9778
4.5,68.6335,65.9097,66.4282,67.2473,67.2654,67.3575,66.8016,65.6295,66.1858,67.7992,66.7658,89.6967,458.67864,329.2604
4.55,67.1756,66.3147,66.5469,66.7344,67.0235,67.2478,66.7078,65.6405,66.2728,71.6572,67.7394,86.6901,459.08056,329.543
4.6,65.1366,66.9236,66.306,62.2333,65.306,66.4062,68.0896,65.2703,66.5756,67.1892,67.1232,83.44,459.48248,329.8256
4.65,69.1894,67.0924,66.7809,64.694,65.5922,66.1151,66.5906,64.8558,66.5781,63.7031,68.113,80.1505,459.87812,330.10192
4.7,62.4899,66.525,66.0599,69.8158,66.145,66.7261,67.8204,67.202,66.7851,69.4117,67.9521,78.3607,460.28004,330.38452
4.75,67.1839,66.2351,66.2403,66.9468,66.0849,66.756,63.9,66.6217,66.3043,70.8167,68.5556,77.1034,460.68196,330.78644
4.8,65.9945,65.9989,66.1925,70.9599,66.9299,67.4498,60.0238,65.2849,65.2575,64.6891,67.162,75.0343,461.08388,331.18836
4.85,69.3481,66.8412,66.7116,70.2235,68.528,67.9052,158.3705,83.3411,80.7764,72.8475,68.2937,74.6699,461.4858,331.584
4.9,67.6097,66.5252,66.8555,65.3431,68.6578,67.4724,161.2754,102.278,94.1929,76.0288,70.7588,74.8964,461.76212,331.98592
4.95,64.8347,66.9942,66.5129,66.0059,67.8958,67.2222,155.0926,119.7325,104.3428,67.938,70.464,73.7366,462.04472,332.38784
5.0,71.3744,67.8323,67.3173,68.3102,68.1685,67.3976,161.4987,139.2522,113.8688,64.8422,69.2691,72.2542,462.32732,332.78976
5.05,72.375,69.1084,68.1545,83.0323,70.583,69.9977,155.7906,158.4056,120.8558,73.1957,70.9705,72.4111,462.60364,333.1854
5.1,61.1537,67.4695,66.9818,88.4555,74.2294,73.0681,154.9052,157.7125,126.5307,67.0784,69.8166,71.5224,462.88624,333.58732
5.15,68.8674,67.721,67.2903,100.134,81.1876,77.5733,71.641,139.7856,117.3824,71.1381,68.8385,71.4583,463.16884,333.98924
5.2,70.2063,68.7953,67.7704,105.2277,89.0319,82.1765,69.2218,122.6114,109.3556,1443.3704,343.925,300.1103,463.45144,334.39116
5.25,67.0222,67.9249,67.6457,67.1089,88.7917,79.6652,70.6565,104.443,102.9058,1667.9169,664.5399,528.0781,463.6524,334.1902
5.3,69.1366,67.2772,67.8884,63.5684,84.8989,76.9766,67.9389,86.8727,97.078,1727.618,995.4244,728.0014,463.92872,334.59212
5.35,65.9038,68.2273,67.5518,71.5153,81.5109,76.0606,68.1183,69.5153,92.2513,1764.9368,1334.996,900.824,464.21132,334.98776
5.4,60.9046,66.6347,66.4381,66.0786,74.6998,74.3911,62.4248,67.6721,87.2803,1389.6365,1598.6957,982.2927,464.49392,335.38968
5.45,69.5409,66.5016,66.9495,67.0361,67.0615,73.1595,63.2238,66.4725,83.2708,1468.857,1603.7931,1063.3868,464.77024,335.7916
5.5,72.4526,67.5877,67.8608,70.0819,67.6561,72.6407,63.6538,65.0719,80.0013,1581.262,1586.4621,1149.6993,465.05284,336.19352
5.55,70.5813,67.8766,68.3084,62.8849,67.5193,71.0089,67.113,64.9067,77.8533,1463.7376,1533.686,1202.039,465.33544,336.58916
5.6,68.7359,68.4431,68.3739,80.2313,69.2625,72.5402,70.7593,65.4349,76.6709,1470.7527,1474.8492,1246.8246,465.73108,336.87176
5.65,66.2639,69.5149,68.0164,65.5729,69.1614,71.3731,66.3238,66.2147,74.9464,1572.5088,1511.4236,1301.1053,466.133,337.15436
5.7,60.2911,67.6649,66.723,69.602,69.6746,71.0721,65.2426,66.6185,73.3291,1646.7955,1547.0113,1358.7204,466.53492,337.43068
5.75,66.7973,66.5339,66.7296,66.6306,68.9843,70.326,66.3178,67.1513,72.1606,1704.9457,1571.7481,1416.4246,466.93684,337.71328
5.8,75.428,67.5032,68.1734,69.0295,70.2133,70.1041,70.948,67.9183,71.9585,1741.6179,1627.3241,1470.6235,467.33876,337.99588
5.85,71.5929,68.0746,68.7376,71.9612,68.5592,70.4078,72.4187,68.2502,72.0352,1795.9166,1692.3569,1524.839,467.7344,338.27848
5.9,60.269,66.8756,67.3203,65.5286,68.5504,69.5888,64.9408,67.9736,70.8528,1700.3824,1717.9316,1554.0962,468.13632,338.5548
5.95,64.6448,67.7464,66.8686,71.3369,68.8974,69.8743,65.9877,68.1226,70.0419,1548.7169,1698.3159,1553.1997,468.53824,338.8374
6.0,61.8858,66.7641,66.0323,64.9998,68.5712,69.0561,66.8301,68.2251,69.5066,1450.5345,1647.4337,1536.0888,468.94016,339.12
6.05,68.3584,65.3502,66.4142,74.6173,69.6888,69.9772,67.7732,67.5901,69.2177,477.5008,1394.6102,1359.6575,469.3358,339.39632
6.1,70.766,65.1848,67.1337,72.9837,69.8933,70.4724,61.3508,65.3765,67.9066,78.5045,1051.1278,1146.132,469.73772,339.67892
6.15,70.876,67.3062,67.7515,72.2358,71.2347,70.7605,72.2705,66.8425,68.6339,73.2132,725.694,967.3122,470.13964,339.96152
6.2,60.781,66.5334,66.5839,64.8672,69.9408,69.7724,61.8337,66.0117,67.5005,73.2275,430.5961,818.2981,470.54156,340.24412
6.25,65.0779,67.1718,66.3271,69.71,70.8828,69.7562,62.3661,65.1189,66.6448,65.1177,153.5127,692.768,470.94348,340.52044
6.3,67.3796,66.9761,66.4967,66.4891,69.2572,69.2059,65.3961,64.6435,66.4367,67.3592,71.4844,588.5332,471.33912,340.80304
